Param name,Dend Target Prop,BTSP,Feedforward ANN,Backprop,Linear readout,Fixed Hidden
W$_{\mathrm{init}}$ (H1),0.8637802765354401,1.9093432896695843,4.905564537081869,3.3760676840413897,-,2.2639002958165
"$\eta$, W (H1)",0.04341836198029683,0.004227019388924618,0.06265631385017711,0.3302088696191679,-,-
"Y$_{\mathrm{init}}$ (SomaI, H1)",0.8141134932350813,1.0764097476277368,-,2.194058825729849,-,-
"Y$_{\mathrm{init}}$ (DendI, H1)",0.02895403600495912,1.8919220912490171,-,-,-,-
"$\eta$, Y (DendI, H1)",0.23474074162659092,0.06098033865229452,-,-,-,-
B$_{\mathrm{scale}}$ (H1),0.05177478008857764,0.5302655270210741,-,-,-,-
"W$_{\mathrm{init}}$ (SomaI, H1)",1.324996639077444,1.3824713951940757,-,2.1028025005953017,-,-
"Q$_{\mathrm{init}}$ (SomaI, H1)",0.5305888968865659,0.12184573186135012,-,0.23465954820767837,-,-
"R$_{\mathrm{init}}$ (SomaI, H1)",1.1188609906318894,0.6009875798484268,-,1.1422461828951287,-,-
"$\eta$, Q (DendI, H1)",0.03832040832738861,0.20372268686857808,-,-,-,-
"Q$_{\mathrm{sum}}$ (DendI, H1)",13.195718703782386,13.63269546529652,-,-,-,-
"$\eta$, R (DendI, H1)",0.08124416080006751,0.16560599126845238,-,-,-,-
"R$_{\mathrm{sum}}$ (DendI, H1)",3.616931187069389,1.838854683815819,-,-,-,-
W$_{\mathrm{init}}$ (H2),0.1664000617051152,0.13144554302464115,0.44935169674812764,0.3727728154132749,-,0.7152195070857138
"$\eta$, W (H2)",0.04341836198029683,0.004227019388924618,0.06265631385017711,0.3302088696191679,-,-
"Y$_{\mathrm{init}}$ (SomaI, H2)",0.5974339993718294,0.2808300075483415,-,0.7421578852811115,-,-
"Y$_{\mathrm{init}}$ (DendI, H2)",0.46972079928386185,2.0080596333250944,-,-,-,-
"$\eta$, Y (DendI, H2)",0.23474074162659092,0.06098033865229452,-,-,-,-
B$_{\mathrm{scale}}$ (H2),2.605770102199695,3.93333441818103,-,-,-,-
"W$_{\mathrm{init}}$ (SomaI, H2)",0.38423528928552564,0.3349079302510944,-,0.2725887302171289,-,-
"Q$_{\mathrm{init}}$ (SomaI, H2)",0.3750353219293164,1.3534618081127228,-,1.8109625224655255,-,-
"R$_{\mathrm{init}}$ (SomaI, H2)",1.3660227918982764,1.552870392129898,-,9.215804784458818,-,-
"$\eta$, Q (DendI, H2)",0.03832040832738861,0.20372268686857808,-,-,-,-
"Q$_{\mathrm{sum}}$ (DendI, H2)",5.274990428911362,55.77814153692039,-,-,-,-
"$\eta$, R (DendI, H2)",0.08124416080006751,0.16560599126845238,-,-,-,-
"R$_{\mathrm{sum}}$ (DendI, H2)",2.819782788622057,5.327721642115883,-,-,-,-
W$_{\mathrm{init}}$ (Output),0.6051491854075509,2.309958086978021,1.4250203664388548,1.4313849364729725,0.010453189114680224,0.14910491500745882
"$\eta$, W (Output)",0.03198259753832984,0.01920445501210893,0.016382755788845328,0.010448864605842031,0.0016869881759913501,0.02738169902913041
"Y$_{\mathrm{init}}$ (SomaI, Output)",0.342817545714717,0.7374888361458694,-,1.154292489543906,-,-
"W$_{\mathrm{init}}$ (SomaI, Output)",0.04758426168839178,0.7847707708945411,-,1.8406603142422193,-,-
"Q$_{\mathrm{init}}$ (SomaI, Output)",1.0982121325566407,0.07790595626755652,-,0.4257301795500923,-,-
"R$_{\mathrm{init}}$ (SomaI, Output)",4.068425788563914,2.326714866963642,-,1.8257993256009108,-,-
BTSP $\lambda$ (H1),-,0.0005366533370376131,-,-,-,-
BTSP W$_{\mathrm{max}}$ (H1),-,0.22617085008362386,-,-,-,-
BTSP $\lambda$ (H2),-,0.0005366533370376131,-,-,-,-
BTSP W$_{\mathrm{max}}$ (H2),-,0.2832107013769023,-,-,-,-
BTSP $\lambda$ (Output),-,0.0005366533370376131,-,-,-,-
BTSP W$_{\mathrm{max}}$ (Output),-,0.4130114392240917,-,-,-,-
