model_key,config,display_name,label,color,Architecture,Hidden Layers,Algorithm,W Learning Rule,B Learning Rule,Bias
bpLike_WT_localBP,20241113_EIANN_2_hidden_mnist_BP_like_config_5M_complete_optimized.yaml,"Dend. Target Prop.\n(Learned DendI, BP)",Learned (Backprop),black,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_localBP_eq,20240628_EIANN_2_hidden_mnist_BP_like_config_3M_complete_optimized.yaml,bpLike_WT_localBP_eq,bpLike_WT_localBP_eq,black,Dend EIANN,2,Backprop/Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_fixedDend,20241113_EIANN_2_hidden_mnist_BP_like_config_5K_complete_optimized.yaml,Dend. Target Prop.\n(Fixed DendI),Fixed (Random),gray,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_WT_fixedDend_eq,20240508_EIANN_2_hidden_mnist_BP_like_config_2K_complete_optimized.yaml,bpLike_WT_fixedDend_eq,bpLike_WT_fixedDend_eq,gray,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
bpLike_fixedTD_hebbdend,20241114_EIANN_2_hidden_mnist_BP_like_config_5J_fixed_TD_complete_optimized.yaml,"LDS, \nfixed top-down",Fixed Random B,gray,Dend EIANN,2,Dend Target Prop,LDS,Fixed random,Zero
bpLike_TCWN_hebbdend,20241120_EIANN_2_hidden_mnist_BP_like_config_5J_learn_TD_HTCWN_2_complete_optimized.yaml,"LDS, \nlearned top-down",Learned B: Contr. \nHebb + W Norm.,green,Dend EIANN,2,Dend Target Prop,LDS,Contr. Hebb + W Norm.,Zero
bpLike_fixedTD_hebbdend_eq,20240830_EIANN_2_hidden_mnist_BP_like_config_2L_fixed_TD_complete_optimized.yaml,bpLike_fixedTD_hebbdend_eq,bpLike_fixedTD_hebbdend_eq,lightgray,Dend EIANN,2,Dend Target Prop,LDS,Fixed random,Zero
bpLike_hebbTD_hebbdend,20241009_EIANN_2_hidden_mnist_BP_like_config_5J_learn_TD_HWN_1_complete_optimized.yaml,bpLike_hebbTD_hebbdend,bpLike_hebbTD_hebbdend,blue,Dend EIANN,2,Dend Target Prop,LDS,Hebb + Weight Norm.,Zero
bpLike_hebbTD_hebbdend_eq,20240830_EIANN_2_hidden_mnist_BP_like_config_2L_learn_TD_HWN_3_complete_optimized.yaml,bpLike_hebbTD_hebbdend_eq,bpLike_hebbTD_hebbdend_eq,magenta,Dend EIANN,2,Dend Target Prop,LDS,Hebb + Weight Norm.,Zero
dend_temp_contrast_WT,20240508_EIANN_2_hidden_mnist_BP_like_config_1J_complete_optimized.yaml,Dend. Temp. Contr.,Dend. Temp. Contr.,deeppink,Dend EIANN,2,Dend Temp Contrast,LDS,Symmetric ($B=W^T$),Zero
dend_temp_contrast_fixedTD,20251014_EIANN_2_hidden_mnist_BP_like_config_1J_fixed_TD_complete_optimized.yaml,Dend. Temp. Cont.  (fixed TD),Dend. Temp. Cont.  (fixed TD),palevioletred,Dend EIANN,2,Dend Temp Contrast,LDS,Fixed random,Zero
HebbWN_topsup,20241105_EIANN_2_hidden_mnist_Top_Layer_Supervised_Hebb_WeightNorm_config_7_complete_optimized.yaml,Unsup. Hebb,Hebb,green,EIANN,2,Unsupervised,Hebb \n+ Weight Norm.,-,Zero
HebbWN_topsup_lrf,20250923_EIANN_2_hidden_lrf_wide_2_mnist_Top_Layer_Supervised_Hebb_WeightNorm_config_7_complete_optimized.yaml,Unsup. Hebb\n(Wide H1 + Local RF),Hebb (Local RF),green,EIANN,2,Unsupervised,Hebb \n+ Weight Norm.,-,Zero
Supervised_HebbWN_WT_hebbdend,20240714_EIANN_2_hidden_mnist_Supervised_Hebb_WeightNorm_config_4_complete_optimized.yaml,Sup. Hebb + W Norm.,Sup. Hebb + W Norm.,olive,Dend EIANN,2,Dend Target Prop,Hebb \n+ Weight Norm.,Symmetric ($B=W^T$),Zero
SupHebbTempCont_WT_hebbdend,20241125_EIANN_2_hidden_mnist_Hebb_Temp_Contrast_config_2_complete_optimized.yaml,Sup. TCH,TCH,mediumaquamarine,Dend EIANN,2,Dend Target Prop,TCH,Symmetric ($B=W^T$),Zero
Supervised_HebbWN_learned_somaI,20240919_EIANN_2_hidden_mnist_Supervised_Hebb_WeightNorm_learn_somaI_config_4_complete_optimized.yaml,Supervised HebbWN learned somaI,Supervised HebbWN learned somaI,lime,Dend EIANN,2,Dend Target Prop,Hebb \n+ Weight Norm.,Symmetric ($B=W^T$),Zero
Supervised_BCM_WT_hebbdend,20240723_EIANN_2_hidden_mnist_Supervised_BCM_config_4_complete_optimized.yaml,Sup. BCM,BCM,plum,Dend EIANN,2,Dend Target Prop,BCM,Symmetric ($B=W^T$),Zero
BCM_topsup,20251102_EIANN_2_hidden_mnist_Top_Layer_Supervised_BCM_config_7_complete_optimized.yaml,Unsup. BCM,BCM,plum,Dend EIANN,2,Dend Target Prop,BCM,Symmetric ($B=W^T$),Zero
BTSP_WT_hebbdend,20241212_EIANN_2_hidden_mnist_BTSP_config_5L_complete_optimized.yaml,Sup. BTSP,Symmetric B=W,orange,Dend EIANN,2,Dend Target Prop,BTSP,Symmetric ($B=W^T$),Zero
BTSP_fixedTD_hebbdend,20241216_EIANN_2_hidden_mnist_BTSP_config_5L_fixed_TD_complete_optimized.yaml,"BTSP, \nfixed top-down",Fixed Random B,gray,Dend EIANN,2,Dend Target Prop,BTSP,Fixed random,Zero
BTSP_TCWN_hebbdend,20241216_EIANN_2_hidden_mnist_BTSP_config_5L_learn_TD_HTCWN_3_complete_optimized.yaml,"BTSP, \nlearned top-down",Learned B: Contr. \nHebb + W Norm.,green,Dend EIANN,2,Dend Target Prop,BTSP,Contr. Hebb + W Norm.,Zero
,,,,,,,,,,
fmnist_DTP_TCWN_hebbdend,20250619_EIANN_2_hidden_fmnist_DTP_config_5J_learn_TD_HTCWN_2_zero_bias_complete_optimized.yaml,Dend Target Prop,Dend. Target Prop. (learned bias),black,Dend EIANN,2,Dend Target Prop,LDS,Contr. Hebb + W Norm.,Zero
fmnist_DTP_WT_hebbdend,20250607_EIANN_2_hidden_fmnist_DTP_config_5J_zero_bias_complete_optimized.yaml,Dend Target Prop,Dend. Target Prop.,black,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
fmnist_BTSP_TCWN_hebbdend,20250619_EIANN_2_hidden_fmnist_BTSP_config_5L_learn_TD_HTCWN_3_zero_bias_complete_optimized.yaml,BTSP (learned top-down),Learned B: Contr. \nHebb + W Norm.,black,Dend EIANN,2,Dend Target Prop,BTSP,Contr. Hebb + W Norm.,Zero
fmnist_BTSP_WT_nobias_hebbdend,20250619_EIANN_2_hidden_fmnist_BTSP_config_5L_zero_bias_complete_optimized.yaml,BTSP (no bias),Symmetric B=W (BTSP),black,Dend EIANN,2,Dend Target Prop,BTSP,Symmetric ($B=W^T$),Zero
fmnist_vanBP_nobias,20250606_EIANN_2_hidden_fmnist_van_bp_relu_SGD_config_G_zero_bias_complete_optimized.yaml,Feedforward ANN,Backprop (ANN),black,ANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
fmnist_bpDale_nobias,20250606_EIANN_2_hidden_fmnist_bpDale_relu_SGD_config_G_zero_bias_complete_optimized.yaml,Backprop (EIANN),Backprop (EIANN),black,EIANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
fmnist_0hidden_vanBP_nobias,20250819_EIANN_0_hidden_fmnist_van_bp_relu_SGD_config_G_zero_bias_optimized.yaml,Feedforward ANN \n(no hidden layers),Linear readout,black,ANN,0,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
fmnist_fixed_vanBP_nobias,20250819_EIANN_2_fixed_hidden_fmnist_van_bp_relu_SGD_config_G_zero_bias_optimized.yaml,Feedforward ANN \n(fixed hidden layers),Fixed Hidden,black,ANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
,,,,,,,,,,
vanBP_0_hidden_learned_bias_spiral,20250108_EIANN_0_hidden_spiral_van_bp_relu_learned_bias_config_complete_optimized.yaml,Feedforward ANN \n(no hidden  layers),Vanilla Backprop 0-Hidden (Learned Bias),black,ANN,0,Backprop,Gradient Descent,Symmetric ($B=W^T$),Learned
vanBP_2_hidden_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_van_bp_relu_learned_bias_config_complete_optimized.yaml,Feedforward ANN \n(learned bias),FF Backprop (learned bias),black,ANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Learned
vanBP_2_hidden_zero_bias_spiral,20250108_EIANN_2_hidden_spiral_van_bp_relu_zero_bias_config_complete_optimized.yaml,Feedforward ANN \n(no bias),FF Backprop no bias,gray,ANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Zero
bpDale_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_bpDale_fixed_SomaI_learned_bias_config_complete_optimized.yaml,Backprop (EIANN) \n(learned bias),Backprop (EIANN) fixed SomaI learned bias,blue,EIANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Learned
DTP_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_DTP_fixed_SomaI_learned_bias_config_complete_optimized.yaml,Dend Target Prop \n(learned bias),Dend. Target Prop. (learned bias),red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Learned
bpLike_DTC_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_BP_like_1_fixed_SomaI_learned_bias_config_complete_optimized.yaml,bpLike_DTC_learned_bias_spiral,Backprop-Like fixed SomaI learned bias,purple,Dend EIANN,2,Dend. Temp. Contrast,LDS,Symmetric ($B=W^T$),Learned
bpDale_zero_bias_spiral,20251009_EIANN_2_hidden_spiral_bpDale_fixed_SomaI_zero_bias_config_complete_optimized.yaml,Backprop (EIANN) \n(no bias),Backprop (EIANN) fixed SomaI zero bias,gray,EIANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Zero
DTP_zero_bias_spiral,20251009_EIANN_2_hidden_spiral_DTP_fixed_SomaI_zero_bias_config_complete_optimized.yaml,Dend Target Prop \n(no bias),Dend Target Prop zero bias,gray,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
,,,,,,,,,,
vanBP_localrf_cifar,20250827_EIANN_2_hidden_lrf_cifar10_van_bp_relu_SGD_config_G_zero_bias_optimized.yaml,Feedforward ANN,Backprop,black,ANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Zero
bpDale_localrf_cifar,20250829_EIANN_2_hidden_lrf_cifar10_bpDale_relu_SGD_config_G_zero_bias_optimized.yaml,Backprop (EIANN),Backprop (EIANN),gray,EIANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Zero
DTP_localrf_cifar,20250829_EIANN_2_hidden_lrf_cifar10_DTP_config_5J_zero_bias_optimized.yaml,Dend Target Prop,Dend Target Prop,red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Zero
